Age,Attrition,Department,EducationField,Gender,JobRole,MaritalStatus,NumCompaniesWorked,YearsAtCompany
41,Yes,Sales,Life Sciences,Female,Sales Executive,Single,8,6
49,No,Research & Development,Life Sciences,Male,Research Scientist,Married,1,10
37,Yes,Research & Development,Other,Male,Laboratory Technician,Single,6,0
33,No,Research & Development,Life Sciences,Female,Research Scientist,Married,1,8
27,No,Research & Development,Medical,Male,Laboratory Technician,Married,9,2
32,No,Research & Development,Life Sciences,Male,Laboratory Technician,Single,0,7
59,No,Research & Development,Medical,Female,Laboratory Technician,Married,4,1
30,No,Research & Development,Life Sciences,Male,Laboratory Technician,Divorced,1,1
38,No,Research & Development,Life Sciences,Male,Manufacturing Director,Single,0,9
36,No,Research & Development,Medical,Male,Healthcare Representative,Married,6,7
35,No,Research & Development,Medical,Male,Laboratory Technician,Married,0,5
29,No,Research & Development,Life Sciences,Female,Laboratory Technician,Single,0,9
31,No,Research & Development,Life Sciences,Male,Research Scientist,Divorced,1,5
34,No,Research & Development,Medical,Male,Laboratory Technician,Divorced,0,2
28,Yes,Research & Development,Life Sciences,Male,Laboratory Technician,Single,5,4
29,No,Research & Development,Life Sciences,Female,Manufacturing Director,Divorced,1,10
32,No,Research & Development,Life Sciences,Male,Research Scientist,Divorced,0,6
22,No,Research & Development,Medical,Male,Laboratory Technician,Divorced,1,1
53,No,Sales,Life Sciences,Female,Manager,Married,2,25
38,No,Research & Development,Life Sciences,Male,Research Scientist,Single,5,3
24,No,Research & Development,Other,Female,Manufacturing Director,Divorced,0,4
36,Yes,Sales,Life Sciences,Male,Sales Representative,Single,7,5
34,No,Research & Development,Life Sciences,Female,Research Director,Single,0,12
21,No,Research & Development,Life Sciences,Male,Research Scientist,Single,1,0
34,Yes,Research & Development,Medical,Male,Research Scientist,Single,2,4
53,No,Research & Development,Other,Female,Manager,Divorced,4,14
32,Yes,Research & Development,Life Sciences,Female,Research Scientist,Single,1,10
42,No,Sales,Marketing,Male,Sales Executive,Married,0,9
44,No,Research & Development,Medical,Female,Healthcare Representative,Married,3,22
46,No,Sales,Marketing,Female,Manager,Single,3,2
33,No,Research & Development,Medical,Male,Laboratory Technician,Single,4,1
44,No,Research & Development,Other,Male,Healthcare Representative,Married,2,4
30,No,Research & Development,Medical,Male,Laboratory Technician,Single,1,10
39,Yes,Sales,Technical Degree,Male,Sales Representative,Married,3,1
24,Yes,Research & Development,Medical,Male,Research Scientist,Married,2,2
43,No,Research & Development,Medical,Female,Research Scientist,Divorced,1,5
50,Yes,Sales,Marketing,Male,Sales Representative,Married,1,3
35,No,Sales,Marketing,Female,Sales Representative,Married,1,2
36,No,Research & Development,Life Sciences,Female,Research Scientist,Married,9,1
33,No,Sales,Life Sciences,Female,Sales Executive,Married,2,5
35,No,Research & Development,Other,Male,Laboratory Technician,Divorced,1,1
27,No,Research & Development,Life Sciences,Female,Laboratory Technician,Divorced,1,1
26,Yes,Research & Development,Life Sciences,Male,Laboratory Technician,Single,1,1
27,No,Sales,Life Sciences,Male,Sales Executive,Single,1,9
30,No,Research & Development,Medical,Female,Laboratory Technician,Single,1,12
41,Yes,Research & Development,Technical Degree,Female,Research Director,Married,1,22
